"Enddatetime","TimerName","UserName","Event_ID"
"26/10/2016 21:49:59","USR:MPG.AMB_ORG_LOAD - LOAD COMPONENT","LLOCKE",760
"26/10/2016 21:50:44","USR:MPG.ORDERS.O2 - LOAD COMPONENT","LLOCKE",785
"26/10/2016 21:51:57","USR:MPG.ALLERGY.O2 - LOAD COMPONENT","BMOORE005",258
"26/10/2016 21:52:08","USR: DOCV: LOAD NOTE PROFILE","BMOORE005",241
"26/10/2016 21:52:38","USR:ORM.LOADORDERDIAGNOSES","BMOORE005",307
"26/10/2016 21:53:08","USR:ORM.BUILDSDL","BMOORE005",295
"26/10/2016 21:53:22","USR: DYNDOC EXECUTE AUTOTEXT DOCUMENT","LLOCKE",739
"26/10/2016 21:53:24","CKPT:WINDOWSSESSIONMONITOR-ALL","VPONNEQUIN",1294
"26/10/2016 21:56:32","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","LLOCKE",771
"26/10/2016 21:56:35","USR:ORM.RETRIEVEERXREVIEWSCREENNEWRX","BMOORE005",318
"26/10/2016 21:56:43","CAP:ORM.NEWORDERMISSINGREQUIREDDETAILS","LLOCKE",713
"26/10/2016 21:56:52","USR:MPG.AMB_ORG_LOAD - ADDBUTTON","LLOCKE",757
"26/10/2016 21:58:26","CKPT:WINDOWSSESSIONMONITOR-ALL","VPONNEQUIN",1294
"26/10/2016 22:01:07","CAP:MPG SCRATCHPAD LAUNCH ORDERS FOR SIGNATURE","BMOORE005",201
"26/10/2016 22:01:38","USR:PWR-SWITCHFRAME","BMOORE005",344
"26/10/2016 22:01:42","USR:ORM.ENHANCEDDETAILSTABCREATED","BMOORE005",301
"26/10/2016 22:02:17","USR:FAMHX.LOAD PROFILE","LLOCKE",752
"26/10/2016 22:02:24","USR:MPG.AMB_ORG_LOAD - EDIT ROWS(MY_DAY)","BMOORE005",261
"26/10/2016 22:05:06","CKPT:WINDOWSSESSIONMONITOR-ALL","LLOCKE",722
"26/10/2016 22:05:28","USR:MPG.LABORATORY.WF - LOAD COMPONENT","LLOCKE",776
"26/10/2016 22:07:25","USR:MPG.NEW_ORDER_ENTRY.O1 - LOAD COMPONENT","LLOCKE",782
"26/10/2016 22:07:54","USR:MPG.NEW_ORDER_ENTRY.O1 - LOAD COMPONENT","LLOCKE",782
"26/10/2016 22:08:01","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 22:10:25","USR:MPG.PATHOLOGY.O2 - LOAD COMPONENT","LLOCKE",787
"26/10/2016 22:13:47","USR:PWR-SWITCHFRAME","LLOCKE",850
"26/10/2016 22:14:23","USR:PWR-CLOSECHART","LLOCKE",843
"26/10/2016 22:14:27","USR:MPG.VITALSIGNS.WF - LOAD COMPONENT","LLOCKE",793
"26/10/2016 22:14:45","USR:MPG.DOCUMENTATION_ROS.O1 - LOAD COMPONENT","LLOCKE",771
"26/10/2016 22:15:39","USR:MPG.PATHOLOGY.O2 - LOAD COMPONENT","LLOCKE",787
